Title,Rating,Memory,Disply,Camera,Processor,Warranty,Selling_price,actual_price,discount,emi,exchange_price
Apple iPhone XS Max (Gold| 256 GB),4.6,256 GB ROM ,16.51 cm (6.5 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,1 Year Limited Warranty for Products and Accessories,₹74999,₹124900,39% off,No Cost EMI,₹14000
Apple iPhone 7 (Rose Gold| 256 GB),4.5,256 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹44990,₹44990,0,0,0
Apple iPhone 8 Plus (Gold| 256 GB),4.6,256 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,A11 Bionic Chip with 64-bit Architecture| Neural Engine| Embedded M11 Motion Coprocessor Processor,Brand Warranty of 1 Year,₹58990,₹58990,0,0,0
Apple iPhone 11 Pro Max (Gold| 256 GB),4.7,256 GB ROM ,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹123900,₹123900,0,No Cost EMI,₹14000
Apple iPhone 7 Plus (Red| 128 GB),4.5,128 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹42900,₹42900,0,No Cost EMI,₹14000
Apple iPhone 6s Plus (Silver| 16 GB),4.4,16 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,₹49999,₹49999,0,No Cost EMI,₹14000
Apple iPhone 7 Plus (Silver| 256 GB),4.5,256 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹52999,₹92000,42% off,0,0
Apple iPhone 6 (Grey| 128 GB),4.4,128 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,Apple A8 64-bit processor and M8 Motion Co-processor,1 Year Manufacturer Warranty,₹52000,₹52000,0,0,0
Apple iPhone 6s (Rose Gold| 64 GB),4.5,64 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,₹32999,₹64999,49% off,0,0
Apple iPhone 6s (Gold| 64 GB),4.5,64 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,₹27990,₹64999,56% off,0,0
Apple iPhone 6 (Silver| 128 GB),4.4,128 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 Chip with 64-bit Architecture and M8 Motion Co-processor,1 Year Manufacturer Warranty,₹49000,₹49000,0,0,0
